"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Juliaetta","10mibuffer","Q2","firesummerhighdays_bi90",3.2258064516129,"Q6",0.2075,0.7925,0.415,14.4,4.3,21.2,16.9
"Juliaetta","10mibuffer","Q2","firesummerhighdays_erc90",4,"Q6",0.238,0.762,0.476,16.6,2.6,26.6,24
"Juliaetta","none","Q1","firehighdays_bi90",6.75675675675676,"Q5",0.331,0.669,0.662,65.3333333333333,35.2,80.5,45.3
"Juliaetta","none","Q1","firehighdays_bi95",2.4,"Q6",0.2085,0.7915,0.417,37.2333333333333,16.7,45.7,29
"Juliaetta","none","Q1","firehighdays_erc90",9.14285714285714,"Q7",0.046,0.954,0.092,78.2,36.4,101.4,65
"Juliaetta","none","Q1","firehighdays_erc95",4.5,"Q6",0.1455,0.8545,0.291,43.5333333333333,20.1,57.5,37.4
"Juliaetta","none","Q5","firemaxrun_bi",1.6,"Q7",0.05,0.95,0.1,15.6666666666667,9.7,20.4,10.7
"Juliaetta","none","Q5","firemaxrun_erc",3.04347826086957,"Q7",0.05,0.95,0.1,24.9666666666667,16.6,34,17.4
"Juliaetta","none","Q3","firep95_erc",4.19621993178887,"Q7",0.0665,0.9335,0.133,72.9827641984263,65.9195436693007,77.5252580645162,11.6057143952154
"Juliaetta","none","Q3","firepeak_bi",3.28810242683657,"Q7",0.116,0.884,0.232,65.0411186833536,59.0878641953007,67.2606451612903,8.17278096598963
"Juliaetta","none","Q3","firepeak_erc",4.1362744789196,"Q7",0.1155,0.8845,0.231,80.9469214236352,74.027676453129,84.1561290322581,10.1284525791291
"Juliaetta","none","Q5","fireseasonlength_bi",17.1428571428571,"Q6",0.1545,0.8455,0.309,307.066666666667,265.4,328.5,63.1
"Juliaetta","none","Q5","fireseasonlength_erc",20.5441176470588,"Q6",0.177,0.823,0.354,292.655172413793,227.555555555556,321.4,93.8444444444444
"Juliaetta","none","Q3","fireseverity_bi90",21.0532353775861,"Q6",0.2415,0.7585,0.483,299.644235049285,121.40916051307,377.604671679738,256.195511166668
"Juliaetta","none","Q3","fireseverity_erc90",44.8264428300925,"Q6",0.182,0.818,0.364,436.508707709559,183.078614206054,574.865108423153,391.786494217098
"Juliaetta","none","Q4","firestart_any_bi90",-2.12121212121212,"Q2",0.7425,0.2575,0.515,28.8333333333333,44.7,19,-25.7
"Juliaetta","none","Q4","firestart_any_erc90",-1.55645161290323,"Q3",0.616,0.384,0.768,38.6896551724138,68.2222222222222,22.6,-45.6222222222222
"Juliaetta","none","Q4","firestart_k2_erc90",-2.20211161387632,"Q3",0.64,0.36,0.72,42.1034482758621,75.7777777777778,23.9,-51.8777777777778
"Juliaetta","none","Q4","firestart_k3_bi90",-2.36842105263158,"Q2",0.721,0.279,0.558,37.3666666666667,59.2,23,-36.2
"Juliaetta","none","Q4","firestart_k3_erc90",-4,"Q3",0.6985,0.3015,0.603,42.1034482758621,75.7777777777778,23.9,-51.8777777777778
"Juliaetta","none","Q4","firestart_wyday_bi",-2.36842105263158,"Q2",0.721,0.279,0.558,37.3666666666667,59.2,23,-36.2
"Juliaetta","none","Q4","firestart_wyday_erc",-4,"Q3",0.6985,0.3015,0.603,42.1034482758621,75.7777777777778,23.9,-51.8777777777778
"Juliaetta","none","Q2","firesummerhighdays_bi90",4.28571428571429,"Q6",0.1735,0.8265,0.347,17.1333333333333,5.2,25.9,20.7
"Juliaetta","none","Q2","firesummerhighdays_erc90",5,"Q6",0.217,0.783,0.434,19.8333333333333,4.1,31.9,27.8
"Kendrick","10mibuffer","Q1","firehighdays_bi90",4.83870967741935,"Q5",0.321,0.679,0.642,48.1,23.2,63,39.8
"Kendrick","10mibuffer","Q1","firehighdays_bi95",1.42857142857143,"Q6",0.2835,0.7165,0.567,25.3,8.9,32.8,23.9
"Kendrick","10mibuffer","Q1","firehighdays_erc90",7.83783783783784,"Q7",0.045,0.955,0.09,55.6,24.1,77.9,53.8
"Kendrick","10mibuffer","Q1","firehighdays_erc95",4.81481481481481,"Q7",0.074,0.926,0.148,29.1666666666667,10.5,43.5,33
"Kendrick","10mibuffer","Q5","firemaxrun_bi",1.2,"Q7",0.1,0.9,0.2,13.3666666666667,7.6,17.5,9.9
"Kendrick","10mibuffer","Q5","firemaxrun_erc",2.75862068965517,"Q7",0.0375,0.9625,0.075,19.6333333333333,12.5,29.2,16.7
"Kendrick","10mibuffer","Q3","firep95_erc",4.34756617413402,"Q7",0.0695,0.9305,0.139,70.5389639592733,63.5694291223872,74.8817209849047,11.3122918625175
"Kendrick","10mibuffer","Q3","firepeak_bi",3.74882067175555,"Q7",0.066,0.934,0.132,63.4394659903577,57.4906626723136,65.6650136104925,8.17435093817885
"Kendrick","10mibuffer","Q3","firepeak_erc",4.51717520151779,"Q7",0.0905,0.9095,0.181,78.8637428724067,72.0828628741394,81.8967112100965,9.81384833595712
"Kendrick","10mibuffer","Q5","fireseasonlength_bi",20,"Q6",0.1575,0.8425,0.315,283.333333333333,226,305.7,79.7
"Kendrick","10mibuffer","Q5","fireseasonlength_erc",21.6666666666667,"Q6",0.2125,0.7875,0.425,263.793103448276,170.666666666667,302.7,132.033333333333
