"town","buffer","question","metric","obs_slope_decade","qcat","p_upper","p_two"
"Juliaetta","10mibuffer",NA,"firestart_k2_erc90",-2.20211161387632,"Q3",0.623,0.754
"Juliaetta","10mibuffer",NA,"firestart_k3_bi90",-3.46153846153846,"Q3",0.6935,0.613
"Juliaetta","10mibuffer",NA,"firestart_k3_erc90",-3.3974358974359,"Q3",0.6825,0.635
"Juliaetta","10mibuffer","Q4","firestart_wyday_bi",-3.46153846153846,"Q3",0.6935,0.613
"Juliaetta","10mibuffer","Q4","firestart_wyday_erc",-3.3974358974359,"Q3",0.6825,0.635
"Juliaetta","10mibuffer","Q2","firesummerhighdays_bi90",3.2258064516129,"Q6",0.2075,0.415
"Juliaetta","10mibuffer","Q2","firesummerhighdays_erc90",4,"Q6",0.238,0.476
"Juliaetta","none","Q1","firehighdays_bi90",6.75675675675676,"Q5",0.331,0.662
"Juliaetta","none",NA,"firehighdays_bi95",2.4,"Q6",0.2085,0.417
"Juliaetta","none","Q1","firehighdays_erc90",9.14285714285714,"Q7",0.046,0.092
"Juliaetta","none",NA,"firehighdays_erc95",4.5,"Q6",0.1455,0.291
"Juliaetta","none","Q5","firemaxrun_bi",1.6,"Q7",0.05,0.1
"Juliaetta","none","Q5","firemaxrun_erc",3.04347826086957,"Q7",0.05,0.1
"Juliaetta","none","Q3","firep95_erc",4.19621993178887,"Q7",0.0665,0.133
"Juliaetta","none","Q3","firepeak_bi",3.28810242683657,"Q7",0.116,0.232
"Juliaetta","none","Q3","firepeak_erc",4.1362744789196,"Q7",0.1155,0.231
"Juliaetta","none","Q5","fireseasonlength_bi",17.1428571428571,"Q6",0.1545,0.309
"Juliaetta","none","Q5","fireseasonlength_erc",20.5441176470588,"Q6",0.177,0.354
"Juliaetta","none",NA,"fireseverity_bi90",21.0532353775861,"Q6",0.2415,0.483
"Juliaetta","none",NA,"fireseverity_erc90",44.8264428300925,"Q6",0.182,0.364
"Juliaetta","none","Q4","firestart_any_bi90",-2.12121212121212,"Q2",0.7425,0.515
"Juliaetta","none","Q4","firestart_any_erc90",-1.55645161290323,"Q3",0.616,0.768
"Juliaetta","none",NA,"firestart_k2_erc90",-2.20211161387632,"Q3",0.64,0.72
