town,buffer,wateryear,metric,value
Bovill,10mibuffer,1984,annualprecip,1053.6375881174226
Bovill,10mibuffer,1985,annualprecip,979.5694157624417
Bovill,10mibuffer,1986,annualprecip,942.5030830111164
Bovill,10mibuffer,1987,annualprecip,755.1367971228673
Bovill,10mibuffer,1988,annualprecip,787.8555384749545
Bovill,10mibuffer,1989,annualprecip,1006.0260273116321
Bovill,10mibuffer,1990,annualprecip,1032.2492829536102
Bovill,10mibuffer,1991,annualprecip,1052.6805127385744
Bovill,10mibuffer,1992,annualprecip,864.6530529047834
Bovill,10mibuffer,1993,annualprecip,913.5196123785365
Bovill,10mibuffer,1994,annualprecip,621.5769160974407
Bovill,10mibuffer,1995,annualprecip,1122.8521743461692
Bovill,10mibuffer,1996,annualprecip,1258.343155488108
Bovill,10mibuffer,1997,annualprecip,1404.4684197760569
Bovill,10mibuffer,1998,annualprecip,907.9261933995048
Bovill,10mibuffer,1999,annualprecip,1053.2094023349218
Bovill,10mibuffer,2000,annualprecip,1049.547713706326
Bovill,10mibuffer,2001,annualprecip,647.406927914279
Bovill,10mibuffer,2002,annualprecip,1065.197489154002
Bovill,10mibuffer,2003,annualprecip,879.375969383014
Bovill,10mibuffer,2004,annualprecip,1031.893073070534
Bovill,10mibuffer,2005,annualprecip,757.644559714853
Bovill,10mibuffer,2006,annualprecip,997.3488735110985
Bovill,10mibuffer,2007,annualprecip,876.9675350880462
Bovill,10mibuffer,2008,annualprecip,1018.4086181627596
Bovill,10mibuffer,2009,annualprecip,909.0555750524755
Bovill,10mibuffer,2010,annualprecip,725.1518534597436
Bovill,10mibuffer,2011,annualprecip,1136.9899113573492
Bovill,10mibuffer,2012,annualprecip,984.6789789560888
Bovill,10mibuffer,2013,annualprecip,924.9086120244963
Bovill,10mibuffer,2014,annualprecip,862.0860989037708
Bovill,10mibuffer,2015,annualprecip,764.6566704903074
Bovill,10mibuffer,2016,annualprecip,935.7909793526062
Bovill,10mibuffer,2017,annualprecip,1139.7802634489617
Bovill,10mibuffer,2018,annualprecip,1003.6874737332051
Bovill,10mibuffer,2019,annualprecip,883.2721331469054
Bovill,10mibuffer,2020,annualprecip,829.4459690737534
Bovill,10mibuffer,2021,annualprecip,753.90511000551
Bovill,10mibuffer,2022,annualprecip,1021.1522867849379
Bovill,10mibuffer,2023,annualprecip,776.284686664335
Bovill,10mibuffer,2024,annualprecip,751.5101633327805
Bovill,10mibuffer,2025,annualprecip,710.0088310942735
Bovill,10mibuffer,1980,annualpwd,101.89287638777682
Bovill,10mibuffer,1981,annualpwd,32.24503740273394
Bovill,10mibuffer,1982,annualpwd,235.03206054273267
Bovill,10mibuffer,1983,annualpwd,235.94200322234428
Bovill,10mibuffer,1984,annualpwd,170.22899255016318
Bovill,10mibuffer,1985,annualpwd,64.83238859182529
Bovill,10mibuffer,1986,annualpwd,43.327935379174846
Bovill,10mibuffer,1987,annualpwd,-202.63017749089613
Bovill,10mibuffer,1988,annualpwd,-197.86678705705685
Bovill,10mibuffer,1989,annualpwd,99.88465430192616
Bovill,10mibuffer,1990,annualpwd,131.03075060798324
Bovill,10mibuffer,1991,annualpwd,156.72967840047545
Bovill,10mibuffer,1992,annualpwd,-100.17745142747219
Bovill,10mibuffer,1993,annualpwd,91.25167498970086
Bovill,10mibuffer,1994,annualpwd,-361.8775193388549
Bovill,10mibuffer,1995,annualpwd,273.72165202034
Bovill,10mibuffer,1996,annualpwd,403.09983280698145
Bovill,10mibuffer,1997,annualpwd,544.9694860059948
Bovill,10mibuffer,1998,annualpwd,2.0556994265989488
Bovill,10mibuffer,1999,annualpwd,163.92871003624055
Bovill,10mibuffer,2000,annualpwd,136.1854993437987
Bovill,10mibuffer,2001,annualpwd,-249.6424238550827
Bovill,10mibuffer,2002,annualpwd,183.86584759502068
