question,.town,n,mean_resp,mean_resp_z,mean_instr_delta_raw,mean_climate_delta_z,mean_pdi,sd_pdi
H3,ElkRiver,26,5.423076923076923,0.16032502566940343,6.214699185636667,0.11163962601664366,0.09144986544872505,1.4498115547076131
H3,Juliaetta,97,5.194174757281553,-0.06369688229634589,4.395437229888035,-0.19450641717307982,0.10547399489563099,1.4819498298770504
H3,Kendrick,48,5.375,0.11327311596207842,4.065550372165346,-0.2500198938733241,0.2996466246823616,1.1807228180937244
H4,Bovill,48,3.1176470588235294,-0.07322318142926201,69.61549002711914,0.5595508157854775,-0.609911436669017,1.520146234156227
H4,Deary,117,3.3220338983050848,0.09255986630095853,50.46694737308239,0.23465659238685055,-0.13986416721923114,1.4580452493509555
H4,ElkRiver,32,3.28125,0.05947907217308372,42.90317569686336,0.10632172277777047,-0.04684265060468676,1.253167275463597
H4,Juliaetta,122,3.143939393939394,-0.05189684036684895,19.039983394897924,-0.29856618283653613,0.24294212142821517,1.2964967717377345
H4,Kendrick,70,3.1690140845070425,-0.03155815988359752,18.710901388389143,-0.3041497327113666,0.27455002084512287,1.3309855039479608
H5,Bovill,48,3.6470588235294117,-0.05851135373404124,1.6922970423590489,0.3503020314505659,-0.39314831765077496,1.38095417400768
H5,Deary,117,3.889830508474576,0.13544342310433777,1.6152275446431752,0.30726006830736635,-0.16574055968632057,1.3098180813405216
H5,ElkRiver,32,3.375,-0.27586416576596184,1.7612792169085756,0.3888273664079124,-0.6646915321738742,2.3405107860829073
H5,Juliaetta,122,3.5681818181818183,-0.12152764813150226,0.38606865424353315,-0.3792036199958822,0.25559235446140743,1.1338876401184221
H5,Kendrick,70,3.9295774647887325,0.16719799960553985,0.5804907655471386,-0.27062227981635173,0.4256034179005368,1.1047333615995056
H6,Bovill,48,4.529411764705882,0.005597113907984129,-34.610384998511414,-0.5390301568434618,0.5705853143349021,1.694342214476638
H6,Deary,117,4.533898305084746,0.009116848631164635,-24.879881846658304,-0.20729288386017178,0.22669484525793318,1.517320974524032
H6,ElkRiver,32,4.4375,-0.06650856271272752,-21.646231550314027,-0.0970496298012525,0.03054106708852497,1.0067321012451396
H6,Juliaetta,122,4.484848484848484,-0.029363214150542737,-10.728332009173618,0.27516896608848523,-0.32479770811033143,1.3835805640859982
H6,Kendrick,70,4.605633802816901,0.06539404685766727,-10.560778822512228,0.2808812747281596,-0.2199070011754689,1.241066095715391
