"system.index","Name","Shape_Area","Shape_Leng","precip","tavg","tmax","tmin",".geo"
"19510523_00000000000000000000","Deary",3414097.91084,9686.26783674,0,19.0234375,28.9375,9.1015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510524_00000000000000000000","Deary",3414097.91084,9686.26783674,1.1875,12.203125,19.703125,4.6875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510525_00000000000000000000","Deary",3414097.91084,9686.26783674,0,10.5390625,17.953125,3.1171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510526_00000000000000000000","Deary",3414097.91084,9686.26783674,0,12.1875,21.078125,3.3125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510527_00000000000000000000","Deary",3414097.91084,9686.26783674,0,14.1328125,22.3828125,5.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510528_00000000000000000000","Deary",3414097.91084,9686.26783674,0,11.8984375,20.6328125,3.1796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510529_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.1171875,15.2734375,-3.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510530_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.4921875,15.0703125,-2.1015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510531_00000000000000000000","Deary",3414097.91084,9686.26783674,0,6.96875,15.03125,-1.09375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510601_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.1015625,16.8671875,-2.6796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510602_00000000000000000000","Deary",3414097.91084,9686.26783674,0,9.921875,20.890625,-1.0625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510603_00000000000000000000","Deary",3414097.91084,9686.26783674,0,10.828125,20.0234375,1.6484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510604_00000000000000000000","Deary",3414097.91084,9686.26783674,0,10.59375,16.59375,4.578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510605_00000000000000000000","Deary",3414097.91084,9686.26783674,12.3515625,9.2734375,13.890625,4.640625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510606_00000000000000000000","Deary",3414097.91084,9686.26783674,7.6796875,6.8984375,10.65625,3.140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510607_00000000000000000000","Deary",3414097.91084,9686.26783674,8.2890625,7.7421875,11.59375,3.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510608_00000000000000000000","Deary",3414097.91084,9686.26783674,3.5234375,9.3515625,15,3.703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
